,lambda,Dint
0,2.4020328525926136,-10946542761.75
1,2.343478006525517,-2544262975.25
2,2.2877100312534013,3926012968.859375
3,2.2345345930446343,8701986496.765625
4,2.183775016069219,12018784849.3125
5,2.1352703213654376,14102227598.3125
6,2.08887352147157,15164281844.03125
7,2.0444501326626607,15400230036.28125
8,2.0018768730727623,14987144006.53125
9,1.9610405201594605,14083328549.4375
10,1.921836905212552,12828462674.28125
11,1.8841700261049643,11344224146.5
12,1.8479512623754222,9735231819.21875
13,1.813098679132915,8090180814.4375
14,1.7795364082737215,6483078152.625
15,1.747194097175123,4974512320.4375
16,1.7160064164345215,3612910103.875
17,1.6859126194055691,2435749272.53125
18,1.6568561472822974,1470706969.1875
19,1.6287842743292624,736732132.53125
20,1.6016477885757128,245036115.0625
21,1.5754007039056013,0.0
22,1.55,0.0
23,1.5260445896958506,0.0
24,1.5028183762661274,225855208.1875
25,1.480288563993897,667086725.4375
26,1.4584242947692618,1309618133.4375
27,1.4371965070772057,2136249831.5625
28,1.4165778071235988,3127083377.0625
29,1.396542350897628,4259900116.96875
30,1.3770657361029928,5510498399.5625
31,1.358124903007684,6852993248.40625
32,1.339698043365309,8260082176.375
33,1.3217645166516223,9703280559.96875
34,1.3043047729398611,11153129633.3125
35,1.2873002818090198,12579379967.6875
36,1.2707334667415826,13951152971.125
37,1.254587644522475,15237082787.65625
38,1.238846969199999,16405440623.75
39,1.2234963802130585,17424243453.125
40,1.2085215543277248,18261348780.5
41,1.1939088610607225,18884536993.3125
42,1.1796453212982274,19261582670.0
43,1.165718568845917,19360316089.125
44,1.1521168146708511,19148676026.21875
45,1.1388288136178633,18594754858.03125
46,1.1258438334029597,17666836819.3125
47,1.1131516257040381,16333430229.4375
48,1.100742399185258,14563294402.71875
49,1.088606794305842,12325461862.4375
50,1.0767358597770869,9589256421.25
51,1.065121030543139,6324307659.15625
52,1.0537541071716963,2500562221.125
53,1.0426272365504257,-1911707641.9375
54,1.0317328937935917,-6941897946.5
55,1.0210638652712916,-12619068921.125
56,1.010613232680873,-18971942770.0625
57,1.0003743580866173,-26028902974.8125
