,lambda,Dint
0,2.510819419022409,-171264453244.64062
1,2.493606142790907,-158514214710.34375
2,2.476627275615251,-146492749954.54688
3,2.4598780616315206,-135161279388.5
4,2.443353872765531,-124486162733.20312
5,2.427050204469351,-114437090575.89062
6,2.4109626716273755,-104986068227.70312
7,2.3950870046241444,-96106818699.6875
8,2.3794190455665025,-87774418619.53125
9,2.363954744653077,-79965068860.54688
10,2.348690156684411,-72655945589.98438
11,2.3336214377074427,-65825100522.1875
12,2.318744841788325,-59451391892.125
13,2.304056717907907,-53514434829.28125
14,2.2895535069744657,-47994564141.796875
15,2.275231738948549,-42872805042.21875
16,2.2610880300750646,-38130848966.828125
17,2.247119080217965,-33751032651.890625
18,2.2333216702931225,-29716319264.890625
19,2.2196926597952067,-26010280830.421875
20,2.206228984414559,-22617081442.25
21,2.1929276537402806,-19521460972.296875
22,2.179785749045908,-16708719079.765625
23,2.166800421154235,-14164699404.0
24,2.153968888378,-11875773916.640625
25,2.1412884345333167,-9828827383.84375
26,2.1287564070228577,-8011241965.46875
27,2.1163702149859582,-6410881951.875
28,2.104127327512933,-5016078673.625
29,2.0920252719210075,-3815615599.25
30,2.0800616320894147,-2798713658.65625
31,2.0682340468512854,-1955016807.625
32,2.0565402084400977,-1274577869.71875
33,2.04497786098853,-747844663.125
34,2.033544799077672,-365646437.3125
35,2.0222388663346296,-119180637.3125
36,2.0110579540766533,-0.03125
37,2.0,0.0
38,1.989040326328393,0.0
39,1.978200112483415,-111878033.75
40,1.9674774158939379,-328129845.09375
41,1.9568703358800517,-641561245.5625
42,1.9463770125299014,-1045276831.71875
43,1.9359956256124629,-1532669067.0625
44,1.925724393524931,-2097407717.75
45,1.9155615722734347,-2733429649.21875
46,1.9055054544858612,-3434928964.125
47,1.895554368455608,-4196347492.0625
48,1.8857066772151476,-5012365607.28125
49,1.8759607776383143,-5877893377.125
50,1.8663150995702902,-6788062027.40625
51,1.8567681049842948,-7738215720.96875
52,1.8473182871640206,-8723903635.0625
53,1.8379641699109155,-9740872333.1875
54,1.8287043067754203,-10785058420.59375
55,1.8195372803113354,-11852581468.34375
56,1.8104617013524953,-12939737212.0625
57,1.8014762083109894,-14042990999.0625
58,1.7925794664961723,-15158971486.0
59,1.7837701674537565,-16284464573.6875
60,1.7750470283242958,-17416407570.875
61,1.7664087912204018,-18551883582.1875
62,1.757854222622056,-19688116106.3125
63,1.7493821127894067,-20822463840.5
64,1.740991275192468,-21952415682.59375
65,1.7326805459571497,-23075585921.53125
66,1.724448783327081,-24189709612.21875
67,1.7162948671406997,-25292638122.8125
68,1.7082176983231105,-26382334854.78125
69,1.7002161983922202,-27456871121.0625
70,1.6922893089786912,-28514422182.25
71,1.6844359913592621,-29553263430.3125
72,1.676655226002998,-30571766716.125
73,1.668946012130064,-31568396820.28125
74,1.661307367282611,-32541708045.90625
75,1.653738326907396,-33490340947.34375
76,1.6462379439497568,-34413019180.9375
77,1.6388052884585886,-35308546465.75
78,1.631439447201971,-36175803664.65625
79,1.624139523293117,-37013745970.59375
80,1.6169046358263164,-37821400197.875
81,1.6097339195225697,-38597862170.5
82,1.6026265243846067,-39342294209.0
83,1.5955816153610063,-40053922710.78125
84,1.5885983720191357,-40732035815.78125
85,1.581675988226639,-41375981149.21875
86,1.5748136718412207,-41985163694.84375
87,1.5680106444084663,-42559043648.9375
88,1.5612661408674642,-43097134448.75
89,1.5545794092639897,-43599000821.15625
90,1.5479497104710318,-44064256915.03125
91,1.5413763179164355,-44492564498.03125
92,1.534858517317459,-44883631220.5625
93,1.528395606422035,-45237208937.15625
94,1.5219868947565416,-45553092094.1875
95,1.515631703379892,-45831116168.59375
96,1.5093293646437609,-46071156166.28125
97,1.5030792219587672,-46273125170.0
